Augurken, zoetzuur;14,0;62,0;94,7;1,1;2,0;2,0;0,0;0,0;0,0;0,0;0,0;1,2
Avocado;188,0;790,0;70,4;2,6;1,5;1,4;18,1;3,8;11,3;2,0;0,0;6,4
Azijn;1,0;5,0;98,5;0,0;0,5;0,5;0,0;0,0;0,0;0,0;0,0;0,0
Baars;82,0;344,0;79,7;18,5;0,0;0,0;0,8;0,1;0,2;0,4;72,0;0,0
Bacon;373,0;1564,0;47,0;18,0;0,0;0,0;34,0;13,7;13,5;5,0;71,0;0,0
Bagel;313,0;1313,0;26,4;10,0;55,0;6,0;5,1;0,0;0,0;0,0;0,0;2,5
Bak- en braadlap;110,0;461,0;74,3;22,6;0,0;0,0;2,1;0,8;0,7;0,1;60,0;0,0
Bakbanaan;137,0;575,0;64,4;1,0;31,5;24,0;0,2;0,0;0,0;0,0;0,0;1,9
Baklava;464,0;1946,0;13,4;4,0;55,6;28,0;25,0;9,5;8,0;5,7;80,0;1,0
Balsamico-azijn;77,0;326,0;79,8;0,2;19,0;19,0;0,0;0,0;0,0;0,0;0,0;0,0
Bamboescheuten;28,0;119,0;91,6;2,5;3,5;0,0;0,2;0,1;0,0;0,0;0,0;1,2
Bami goreng;142,0;595,0;68,8;6,5;17,7;2,6;4,7;1,0;1,1;1,0;28,0;1,3
Bamibal;301,0;1263,0;43,0;7,5;32,5;1,5;16,0;8,5;5,5;1,0;20,0;0,0
Banaan;86,0;363,0;76,8;1,2;18,8;18,2;0,2;0,0;0,0;0,1;0,0;2,0
Basilicum, gedroogd;308,0;1293,0;18,1;14,4;44,5;0,0;4,0;0,0;2,0;2,0;0,0;18,0
Basilicum, vers;47,0;197,0;86,2;3,0;5,0;4,6;0,8;0,1;0,1;0,5;0,0;4,0
Basmatirijst, rauw;354,0;1486,0;11,6;7,0;78,5;0,2;0,6;0,1;0,1;0,2;0,0;1,3
Basterdsuiker;387,0;1623,0;3,5;0,0;95,5;95,5;0,0;0,0;0,0;0,0;0,0;0,0
Beenham, gekookt;162,0;679,0;70,3;17,7;1,4;1,3;9,6;3,7;3,1;4,9;38,0;0,0
Berenburg;187,0;783,0;73,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Berliner;322,0;1351,0;54,2;13,3;1,7;0,0;29,6;11,2;12,8;2,5;175,0;0,2
Berlinerbol;301,0;1262,0;36,0;6,0;46,0;20,0;10,0;3,5;2,5;2,1;60,0;1,0
Beschuit;392,0;1644,0;6,9;12,3;70,8;9,1;5,5;2,6;1,7;1,2;32,0;3,5
Beschuit, volkoren;389,0;1630,0;6,9;16,0;62,0;4,0;6,6;2,3;2,0;1,5;60,0;7,5
Bessenjenever;182,0;762,0;66,5;0,0;17,5;17,5;0,0;0,0;0,0;0,0;0,0;0,0
Bessensap;38,0;160,0;88,6;0,0;9,4;9,0;0,0;0,0;0,0;0,0;0,0;0,0
Biefstuk;127,0;534,0;71,7;23,8;0,0;0,0;3,5;0,7;0,0;0,7;55,5;0,0
Biefstuk van de haas;116,0;488,0;73,0;23,7;0,0;0,0;2,3;1,0;0,9;0,2;55,5;0,0
Bier, alcoholvrij;15,0;64,0;95,2;0,3;3,5;0,1;0,0;0,0;0,0;0,0;0,0;0,0
Bier, pilsener 5 % v/v;42,0;175,0;93,0;0,5;3,0;0,3;0,0;0,0;0,0;0,0;0,0;0,0
Bier, wit 5 % v/v;45,0;189,0;89,7;0,5;3,8;3,8;0,0;0,0;0,0;0,0;0,0;0,0
Bier, zwaar 7 % v/v;52,0;220,0;88,0;0,7;3,8;3,8;0,0;0,0;0,0;0,0;0,0;0,0
Bieslook, vers;58,0;246,0;84,4;3,6;8,5;0,0;0,7;0,0;0,0;0,6;0,0;1,8
Biest;78,0;326,0;85,8;4,2;4,0;4,0;5,0;3,0;1,3;0,2;12,0;0,0
Bietensap, rood;38,0;158,0;88,7;1,1;8,2;8,0;0,0;0,0;0,0;0,0;0,0;0,0
Biscuit, hartig, gemiddeld;521,0;2182,0;0,0;8,0;65,0;10,5;25,0;10,5;7,5;2,4;0,0;2,0
Bitterbal, bereid;311,0;1306,0;44,5;10,5;25,0;2,5;19,0;10,5;7,0;1,5;30,0;0,0
Bitterbal, vegetarisch;204,0;855,0;58,3;20,8;9,7;0,4;8,8;3,5;1,3;4,0;0,0;1,4
Bladerdeeg;380,0;1591,0;31,8;5,5;37,5;4,2;23,0;10,2;6,9;1,9;0,0;1,2
Blinde vink;161,0;678,0;68,4;22,7;0,0;0,0;7,9;3,3;2,8;0,3;30,0;0,0
Bloedworst;374,0;1567,0;46,8;15,2;3,0;0,0;34,0;12,1;14,5;3,8;105,0;0,0
Bloemkool, bereid;20,0;86,0;92,8;1,9;2,2;2,0;0,0;0,0;0,0;0,0;0,0;2,1
Bloemkool, vers;24,0;102,0;91,8;2,0;3,0;2,5;0,0;0,0;0,0;0,0;0,0;2,2
Boekweit;358,0;1503,0;10,6;10,4;72,6;2,2;1,7;0,4;0,6;0,6;0,0;3,7
Boekweitmeel;362,0;1516,0;10,0;10,8;69,9;2,0;2,7;0,5;0,9;0,8;0,0;5,6
Boerenbrood;307,0;1287,0;25,3;11,3;56,3;0,7;3,1;1,2;1,0;0,7;23,0;3,0
Boerenkool, bereid;38,0;159,0;88,3;2,9;4,8;0,6;0,8;0,1;0,1;0,4;0,0;2,2
Boerenkool, vers;51,0;215,0;86,3;4,3;5,5;0,0;0,9;0,2;0,0;0,4;0,0;2,0
Boerenkoolstamppot;155,0;649,0;72,3;5,3;11,6;0,8;9,8;3,4;3,7;0,6;20,0;0,0
Bokking, gebakken;234,0;983,0;60,0;23,0;0,0;0,0;16,0;3,5;8,6;2,5;80,0;0,0
Bokking, gerookt;270,0;1130,0;55,3;22,5;0,0;0,0;20,2;5,5;11,5;4,5;75,0;0,0
Bokking, gestoomd;227,0;954,0;61,9;20,9;0,0;0,0;16,2;3,8;8,0;3,2;82,0;0,0
